BathsTotal,BedsTotal,CDOM,LotSizeAreaSQFT,SqFtTotal,ElementarySchoolName,ClosePrice
3.0,4,52,7100.28,2484,Allen,485000.0
2.1,4,58,8712.0,2631,Fisher,330000.0
1.1,1,38,1306.8,884,Bright,185000.0
2.0,3,11,6969.6,1451,Shawnee,210000.0
2.0,3,89,6098.4,1559,Bright,225000.0
2.1,2,10,2613.6,1014,Bright,225000.0
2.0,3,43,5662.8,1640,Tadlock,231000.0
2.0,3,107,6534.0,1321,Christie,235000.0
2.0,3,90,5662.8,1883,Tadlock,240000.0
2.0,4,9,6098.4,1796,Gunstream,240000.0
2.0,3,17,8276.4,1490,Bright,245000.0
2.0,3,5,8276.4,1271,Bright,245000.0
2.1,3,34,3354.12,1718,Bright,247000.0
2.0,3,68,6098.4,1883,Tadlock,250000.0
2.0,3,5,9147.6,1737,Bright,250000.0
2.0,4,21,10890.0,1612,Rogers,250000.0
2.0,3,81,6098.4,1640,Tadlock,252000.0
2.0,3,64,6098.4,1391,Gunstream,254950.0
2.0,3,70,11761.2,1812,Rogers,255000.0
2.0,3,13,5662.8,1503,Christie,257500.0
2.1,4,86,21780.0,1931,Gunstream,259000.0
2.0,4,79,6534.0,1796,Lucille Rogers Ashley,260000.0
3.0,4,18,4356.0,2158,Gunstream,263000.0
2.0,3,5,7405.2,1621,Bright,264000.0
2.1,3,46,5227.2,1792,Shawnee,265000.0
2.0,3,5,6534.0,1660,Sem,265000.0
2.0,3,7,6969.6,1883,Tadlock,266000.0
2.0,3,44,8712.0,1737,Bright,270000.0
2.0,3,3,6534.0,1719,Christie,270000.0
2.0,3,32,6969.6,1883,Tadlock,275000.0
2.0,3,18,9147.6,1736,Bright,275000.0
2.0,3,46,7405.2,1919,Carroll,275000.0
2.1,3,11,6534.0,2004,Shawnee,276000.0
2.0,3,99,7405.2,1807,Sem,277000.0
2.0,4,27,7143.84,1932,Carroll,280000.0
2.0,3,5,6969.6,1765,Shawnee,280000.0
2.1,3,76,3484.8,1854,Gunstream,281000.0
2.0,3,46,7840.8,2070,Gunstream,282500.0
2.1,5,53,6969.6,2288,Christie,283000.0
2.0,4,63,6098.4,1995,Rogers,285000.0
2.0,3,56,10236.6,1919,Carroll,285000.0
2.0,3,8,7405.2,1789,Christie,289000.0
